,UserID,MovieID,Number_Watched,Number_Watched_log
2,2976,2956,3,2.09861228866811
41,9459937,2956,11,3.3978952727983707
195,9463950,2956,3,2.09861228866811
232,9463953,2956,1,1.0
264,9463965,2956,1,1.0
373,9464080,2956,1,1.0
687,9464342,2956,1,1.0
791,9464416,2956,1,1.0
844,9464478,2956,3,2.09861228866811
906,9464513,2956,1,1.0
923,9464544,2956,1,1.0
1052,9464617,2956,1,1.0
1064,9464631,2956,1,1.0
1230,9464832,2956,7,2.9459101490553135
1441,9465027,2956,1,1.0
1451,9465045,2956,1,1.0
1462,9465051,2956,2,1.6931471805599454
1505,9465056,2956,2,1.6931471805599454
1561,9465097,2956,1,1.0
1659,9465138,2956,1,1.0
1688,9465178,2956,3,2.09861228866811
1795,9465291,2956,1,1.0
1800,9465295,2956,1,1.0
2106,9465667,2956,1,1.0
2159,9465751,2956,1,1.0
2204,9465766,2956,2,1.6931471805599454
2232,9465782,2956,2,1.6931471805599454
2252,9465783,2956,1,1.0
2263,9465793,2956,20,3.995732273553991
2381,9465799,2956,1,1.0
2398,9465800,2956,1,1.0
2565,9465829,2956,3,2.09861228866811
2685,9465854,2956,1,1.0
2721,9465863,2956,6,2.791759469228055
2902,9465904,2956,1,1.0
3001,9465947,2956,5,2.6094379124341005
3167,9466010,2956,1,1.0
3178,9466014,2956,1,1.0
3219,9466034,2956,1,1.0
3239,9466042,2956,1,1.0
3299,9466055,2956,5,2.6094379124341005
3363,9466060,2956,2,1.6931471805599454
3548,9466104,2956,1,1.0
3618,9466110,2956,1,1.0
3640,9466121,2956,1,1.0
3687,9466129,2956,1,1.0
3827,9466178,2956,1,1.0
3840,9466180,2956,1,1.0
4172,9466230,2956,2,1.6931471805599454
4310,9466266,2956,1,1.0
4432,9466297,2956,1,1.0
4450,9466301,2956,3,2.09861228866811
4487,9466309,2956,1,1.0
4505,9466312,2956,5,2.6094379124341005
4699,9466371,2956,1,1.0
4767,9466386,2956,2,1.6931471805599454
4815,9466392,2956,2,1.6931471805599454
4899,9466409,2956,1,1.0
4954,9466422,2956,1,1.0
5048,9466431,2956,1,1.0
5066,9466442,2956,3,2.09861228866811
5081,9466449,2956,1,1.0
5098,9466467,2956,2,1.6931471805599454
5376,9466517,2956,1,1.0
5395,9466544,2956,1,1.0
5437,9466557,2956,8,3.0794415416798357
5591,9466594,2956,1,1.0
5715,9466619,2956,1,1.0
5752,9466625,2956,5,2.6094379124341005
5803,9466640,2956,1,1.0
5877,9466664,2956,1,1.0
5942,9466691,2956,1,1.0
6273,9466746,2956,1,1.0
6325,9466753,2956,1,1.0
6352,9466774,2956,2,1.6931471805599454
6444,9466799,2956,4,2.386294361119891
6541,9466843,2956,11,3.3978952727983707
6645,9466851,2956,1,1.0
6785,9466877,2956,1,1.0
6930,9466953,2956,2,1.6931471805599454
6947,9466954,2956,12,3.4849066497880004
7080,9466991,2956,2,1.6931471805599454
7137,9467004,2956,1,1.0
7318,9467034,2956,1,1.0
7392,9467053,2956,1,1.0
7428,9467073,2956,1,1.0
7507,9467093,2956,1,1.0
7509,9467098,2956,1,1.0
7537,9467109,2956,3,2.09861228866811
7584,9467114,2956,1,1.0
7630,9467143,2956,1,1.0
7663,9467145,2956,1,1.0
7737,9467156,2956,1,1.0
7807,9467172,2956,1,1.0
7892,9467203,2956,5,2.6094379124341005
7975,9467252,2956,1,1.0
8024,9467255,2956,11,3.3978952727983707
8267,9467304,2956,1,1.0
8325,9467305,2956,1,1.0
8334,9467314,2956,1,1.0
8400,9467315,2956,1,1.0
8489,9467345,2956,1,1.0
8569,9467383,2956,2,1.6931471805599454
8620,9467393,2956,1,1.0
8656,9467397,2956,2,1.6931471805599454
8832,9467449,2956,1,1.0
8840,9467453,2956,2,1.6931471805599454
8901,9467470,2956,4,2.386294361119891
8906,9467474,2956,2,1.6931471805599454
8939,9467486,2956,2,1.6931471805599454
8993,9467531,2956,1,1.0
9001,9467532,2956,2,1.6931471805599454
9068,9467543,2956,1,1.0
9200,9467588,2956,1,1.0
9287,9467596,2956,1,1.0
9295,9467600,2956,2,1.6931471805599454
9317,9467607,2956,2,1.6931471805599454
9516,9467664,2956,1,1.0
9547,9467673,2956,2,1.6931471805599454
9658,9467702,2956,1,1.0
9732,9467736,2956,1,1.0
